SID,Season_Year,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,TRACK_TYPE,DIST2LAND,LANDFALL,Haversine Distance,NATURE_DS,NATURE_MX,NATURE_NR,NATURE_TS,Day_of_the_Week,Month,Hour_of_the_Week
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-20 21:00:00,22.8,87.1,34.68862275449102,,main,0.0,0.0,59.269826723537626,0.0,0.0,0.0,1.0,6.0,5.0,165.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 00:00:00,23.3,87.2,34.68862275449102,,main,0.0,0.0,56.5311032869805,0.0,0.0,0.0,1.0,0.0,5.0,0.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 03:00:00,23.6,87.3,34.68862275449102,,main,0.0,0.0,34.883381230475806,0.0,0.0,0.0,1.0,0.0,5.0,3.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 06:00:00,23.8,87.4,34.68862275449102,,main,0.0,0.0,24.45893260238535,0.0,0.0,0.0,1.0,0.0,5.0,6.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 09:00:00,24.0,87.4,34.68862275449102,,main,0.0,0.0,22.238985328911777,0.0,0.0,0.0,1.0,0.0,5.0,9.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 12:00:00,24.2,87.4,34.68862275449102,,main,0.0,0.0,22.238985328911426,0.0,0.0,0.0,1.0,0.0,5.0,12.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 15:00:00,24.4,87.4,34.68862275449102,,main,0.0,0.0,22.238985328911777,0.0,0.0,0.0,1.0,0.0,5.0,15.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 18:00:00,24.6,87.4,34.68862275449102,,main,0.0,0.0,22.238985328912133,0.0,0.0,0.0,1.0,0.0,5.0,18.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-21 21:00:00,24.8,87.4,34.68862275449102,,main,0.0,0.0,22.238985328911426,0.0,0.0,0.0,1.0,0.0,5.0,21.0
1877135N10083,1877,1877,14.0,NI,0,UNNAMED,1877-05-22 00:00:00,25.0,87.4,34.68862275449102,,main,0.0,0.0,22.238985328911777,0.0,0.0,0.0,1.0,1.0,5.0,24.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 03:00:00,20.8,89.6,34.68862275449102,,main,102.0,98.0,10.394787084860171,0.0,0.0,0.0,1.0,2.0,7.0,51.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 06:00:00,20.8,89.5,34.68862275449102,,main,98.0,91.0,10.39478708485885,0.0,0.0,0.0,1.0,2.0,7.0,54.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 09:00:00,20.8,89.3,34.68862275449102,,main,91.0,90.0,20.789573171492076,0.0,0.0,0.0,1.0,2.0,7.0,57.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 12:00:00,20.8,89.2,34.68862275449102,,main,90.0,89.0,10.394787084860171,0.0,0.0,0.0,1.0,2.0,7.0,60.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 15:00:00,20.8,89.0,34.68862275449102,,main,89.0,89.0,20.789573171492076,0.0,0.0,0.0,1.0,2.0,7.0,63.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 18:00:00,20.8,88.9,34.68862275449102,,main,89.0,89.0,10.39478708485885,0.0,0.0,0.0,1.0,2.0,7.0,66.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-11 21:00:00,20.8,88.8,34.68862275449102,,main,90.0,78.0,10.394787084860171,0.0,0.0,0.0,1.0,2.0,7.0,69.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-12 00:00:00,20.9,88.6,34.68862275449102,,main,78.0,78.0,23.570372989437,0.0,0.0,0.0,1.0,3.0,7.0,72.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-12 03:00:00,20.9,88.3,34.68862275449102,,main,78.0,67.0,31.163634867570245,0.0,0.0,0.0,1.0,3.0,7.0,75.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-12 06:00:00,21.0,87.7,34.68862275449102,,main,73.0,45.0,63.2908782138768,0.0,0.0,0.0,1.0,3.0,7.0,78.0
1877192N21090,1877,1877,15.0,NI,0,UNNAMED,1877-07-12 09:00:00,21.1,87.2,34.68862275449102,,main,38.0,0.0,53.06535086250542,0.0,0.0,0.0,1.0,3.0,7.0,81.0
