model,median_km,mean_km,p75_km,p90_km,rmse_dlat,rmse_dlon,r2_dlat,r2_dlon,horizon
ZS LightGBM,59.911,108.72,119.602,259.62,0.97686,1.57097,0.29294,0.53712,12h
ZS XGBoost,61.98,115.88,124.334,282.554,0.99152,1.76618,0.27156,0.41493,12h
ZS RandomForest,59.81,112.047,121.753,267.988,0.94672,1.72594,0.33589,0.44129,12h
ZS CNN-GRU,109.591,167.033,197.687,381.496,1.33403,2.07245,-0.31864,0.19444,12h
ZS CB+MotionNN,54.019,109.088,104.401,243.826,0.9069,2.02013,0.39058,0.23459,12h
ZS SECE Ensemble,59.532,105.466,113.5,243.29,0.96627,1.52421,0.30819,0.56427,12h
ZS LightGBM,172.037,278.308,329.068,659.991,2.18135,3.70098,-0.00156,0.29132,24h
ZS XGBoost,171.126,277.318,325.298,653.922,2.25726,3.63451,-0.07247,0.31654,24h
ZS RandomForest,180.798,286.642,338.94,670.57,2.19743,3.8087,-0.01638,0.24946,24h
ZS CNN-GRU,223.687,338.308,407.081,777.544,2.61636,4.14706,-0.44083,0.1102,24h
ZS CB+MotionNN,166.298,281.364,317.17,679.776,2.07408,4.11211,0.09453,0.12512,24h
ZS SECE Ensemble,172.377,267.253,305.538,603.282,2.33534,3.28817,-0.14795,0.44059,24h
